school_id,region,division,language,n_test_takers,english_mps,filipino_mps,numeracy_mps,mother_tongue_mps,overall_mps
106695,Region III,Tarlac City,Tagalog,93,47.598566308243726,49.65352449223417,28.440860215053767,,44.95601173020528
106767,Region III,Tarlac City,Tagalog,198,47.60942760942761,51.48148148148149,23.686868686868685,,44.843893480257115
106714,Region III,Tarlac City,Tagalog,110,47.15151515151515,49.131313131313135,27.72727272727273,,44.42975206611571
106692,Region III,Tarlac City,Tagalog,83,43.37349397590362,49.1566265060241,34.87951807228915,,44.19496166484119
106757,Region III,Tarlac City,Tagalog,64,45.03472222222222,49.479166666666664,29.453125,,44.01988636363637
106706,Region III,Tarlac City,Tagalog,75,41.45185185185185,51.17037037037037,31.666666666666664,,43.648484848484856
106753,Region III,Tarlac City,Tagalog,61,44.3351548269581,48.743169398907106,28.60655737704918,,43.27868852459016
106720,Region III,Tarlac City,Tagalog,106,40.18867924528302,50.85953878406709,29.292452830188676,,42.5728987993139
106709,Region III,Tarlac City,Tagalog,32,42.291666666666664,47.708333333333336,30.78125,,42.41477272727273
106707,Region III,Tarlac City,Tagalog,49,42.358276643990926,47.84580498866214,24.38775510204082,,41.33580705009277
106725,Region III,Tarlac City,Tagalog,26,39.48717948717949,45.8974358974359,26.730769230769223,,39.790209790209786
106733,Region III,Tarlac City,Tagalog,34,39.28104575163398,46.01307189542484,24.26470588235294,,39.30481283422459
106761,Region III,Tarlac City,Tagalog,33,34.81481481481481,48.215488215488215,25.0,,38.51239669421488
106715,Region III,Tarlac City,Tagalog,31,38.924731182795696,44.01433691756272,25.0,,38.47507331378299
501518,Region III,Tarlac City,Tagalog,110,40.101010101010104,45.070707070707066,2.090909090909091,,35.22314049586777
101788,Region III,Zambales,Tagalog,7,88.57142857142857,80.0,84.28571428571429,,84.28571428571428
106809,Region III,Zambales,Tagalog,16,85.27777777777777,80.27777777777777,79.375,,82.1590909090909
160513,Region III,Zambales,Tagalog,39,84.44444444444444,81.42450142450143,59.743589743589745,,78.71794871794872
500507,Region III,Zambales,Tagalog,20,74.22222222222223,80.77777777777777,59.25,,74.18181818181817
501169,Region III,Zambales,Tagalog,33,68.41750841750842,77.64309764309765,63.33333333333333,,71.26721763085399
281503,Region III,Zambales,Tagalog,10,66.22222222222223,78.22222222222223,56.5,,69.36363636363636
501304,Region III,Zambales,Tagalog,15,72.14814814814815,73.62962962962963,48.33333333333333,,68.42424242424242
106817,Region III,Zambales,Tagalog,78,67.60683760683762,69.62962962962962,54.80769230769231,,66.1072261072261
112962,Region III,Zambales,Tagalog,14,65.71428571428572,66.03174603174604,65.71428571428571,,65.84415584415585
106816,Region III,Zambales,Tagalog,21,65.39682539682539,69.3121693121693,57.61904761904761,,65.58441558441558
106968,Region III,Zambales,Tagalog,56,65.63492063492063,62.38095238095239,72.14285714285714,,65.48701298701299
106803,Region III,Zambales,Tagalog,23,58.64734299516907,71.59420289855073,66.30434782608695,,65.33596837944664
502111,Region III,Zambales,Tagalog,9,51.60493827160494,77.28395061728395,66.66666666666667,,64.84848484848484
160514,Region III,Zambales,Tagalog,23,67.72946859903382,69.75845410628018,43.47826086956521,,64.15019762845849
501224,Region III,Zambales,Tagalog,63,63.492063492063494,66.94885361552028,58.88888888888889,,64.06926406926407
106867,Region III,Zambales,Tagalog,39,61.02564102564103,69.4017094017094,57.82051282051282,,63.86946386946388
106820,Region III,Zambales,Tagalog,72,61.7283950617284,68.02469135802468,57.29166666666667,,63.497474747474755
106964,Region III,Zambales,Tagalog,48,60.97222222222222,68.42592592592594,53.75,,62.708333333333336
106805,Region III,Zambales,Tagalog,42,59.788359788359784,63.333333333333336,60.595238095238095,,61.38528138528138
106970,Region III,Zambales,Tagalog,75,60.59259259259259,64.56296296296297,55.666666666666664,,61.32121212121212
106969,Region III,Zambales,Tagalog,28,57.38095238095239,63.17460317460317,62.857142857142854,,60.74675324675325
106960,Region III,Zambales,Tagalog,55,57.37373737373737,61.45454545454545,64.63636363636364,,60.363636363636374
160517,Region III,Zambales,Tagalog,49,64.08163265306122,59.59183673469388,53.57142857142857,,60.33395176252319
106854,Region III,Zambales,Tagalog,82,57.15447154471545,63.68563685636857,57.07317073170732,,59.81152993348116
106963,Region III,Zambales,Tagalog,33,66.26262626262626,62.62626262626263,34.24242424242424,,58.95316804407713
106972,Region III,Zambales,Tagalog,28,60.47619047619048,65.39682539682539,37.67857142857143,,58.34415584415585
281504,Region III,Zambales,Tagalog,14,67.46031746031746,58.41269841269841,37.142857142857146,,58.24675324675325
106814,Region III,Zambales,Tagalog,63,56.61375661375661,62.11640211640212,52.857142857142854,,58.18181818181818
106810,Region III,Zambales,Tagalog,22,59.59595959595959,61.31313131313131,47.5,,58.09917355371901
106971,Region III,Zambales,Tagalog,17,60.3921568627451,63.52941176470589,36.47058823529411,,57.32620320855615
500479,Region III,Zambales,Tagalog,17,57.25490196078432,59.73856209150328,48.82352941176471,,56.7379679144385
106911,Region III,Zambales,Tagalog,34,56.5359477124183,53.071895424836605,64.26470588235294,,56.524064171122994
501533,Region III,Zambales,Tagalog,29,53.18007662835249,63.14176245210729,48.79310344827586,,56.4576802507837
